month,plan,mrr,customers,arpu
2025-02-01,Enterprise,209149.0,1051,199.0
2025-02-01,Starter,100572.0,3468,29.0
2025-02-01,Free,0.0,5442,0.0
2025-03-01,Professional,265440.0,3360,79.0
2025-03-01,Enterprise,226263.0,1137,199.0
2025-03-01,Starter,107329.0,3701,29.0
2025-03-01,Free,0.0,5866,0.0
2025-04-01,Professional,280134.0,3546,79.0
2025-04-01,Enterprise,237208.0,1192,199.0
2025-04-01,Starter,113477.0,3913,29.0
2025-04-01,Free,0.0,6259,0.0
2025-05-01,Professional,293880.0,3720,79.0
2025-05-01,Enterprise,253526.0,1274,199.0
2025-05-01,Starter,119654.0,4126,29.0
2025-05-01,Free,0.0,6665,0.0
2025-06-01,Professional,311576.0,3944,79.0
2025-06-01,Enterprise,266859.0,1341,199.0
2025-06-01,Starter,126527.0,4363,29.0
2025-06-01,Free,0.0,7060,0.0
2025-07-01,Professional,329272.0,4168,79.0
2025-07-01,Enterprise,281386.0,1414,199.0
2025-07-01,Starter,132559.0,4571,29.0
2025-07-01,Free,0.0,7439,0.0
2025-08-01,Professional,345704.0,4376,79.0
2025-08-01,Enterprise,294520.0,1480,199.0
2025-08-01,Starter,139751.0,4819,29.0
2025-08-01,Free,0.0,7869,0.0
2025-09-01,Professional,362847.0,4593,79.0
2025-09-01,Enterprise,309047.0,1553,199.0
2025-09-01,Starter,145725.0,5025,29.0
2025-09-01,Free,0.0,8272,0.0
2025-10-01,Professional,382123.0,4837,79.0
2025-10-01,Enterprise,325564.0,1636,199.0
2025-10-01,Starter,153323.0,5287,29.0
2025-10-01,Free,0.0,8660,0.0
2025-11-01,Professional,398318.0,5042,79.0
2025-11-01,Enterprise,342479.0,1721,199.0
2025-11-01,Starter,159355.0,5495,29.0
2025-11-01,Free,0.0,9035,0.0
2025-12-01,Professional,415698.0,5262,79.0
2025-12-01,Enterprise,356210.0,1790,199.0
2025-12-01,Starter,165764.0,5716,29.0
2025-12-01,Free,0.0,9445,0.0
2026-01-01,Professional,433236.0,5484,79.0
2026-01-01,Enterprise,372130.0,1870,199.0
2026-01-01,Starter,172666.0,5954,29.0
2026-01-01,Free,0.0,9859,0.0
2026-02-01,Professional,448720.0,5680,79.0
2026-02-01,Enterprise,384468.0,1932,199.0
2026-02-01,Starter,178350.0,6150,29.0
2026-02-01,Free,0.0,10245,0.0
2026-03-01,Professional,464836.0,5884,79.0
2026-03-01,Enterprise,400189.0,2011,199.0
2026-03-01,Starter,185571.0,6399,29.0
2026-03-01,Free,0.0,10635,0.0
2026-04-01,Professional,479767.0,6073,79.0
2026-04-01,Enterprise,412726.0,2074,199.0
2026-04-01,Starter,191197.0,6593,29.0
2026-04-01,Free,0.0,11049,0.0
2026-05-01,Professional,495883.0,6277,79.0
2026-05-01,Enterprise,422278.0,2122,199.0
2026-05-01,Starter,198186.0,6834,29.0
2026-05-01,Free,0.0,11471,0.0
2026-06-01,Professional,512552.0,6488,79.0
2026-06-01,Enterprise,438397.0,2203,199.0
2026-06-01,Starter,205059.0,7071,29.0
2026-06-01,Free,0.0,11888,0.0
2026-07-01,Professional,514764.0,6516,79.0
2026-07-01,Enterprise,441581.0,2219,199.0
2026-07-01,Starter,205117.0,7073,29.0
2026-07-01,Free,0.0,11993,0.0
