user_id,Authentication,Billing,Collaboration,File Management,Onboarding,Project Management,Reporting,Support,Task Management
U000149,6,1,3,0,3,2,0,1,9
U000150,9,1,5,0,0,7,2,1,20
U000151,15,5,3,3,1,5,2,0,16
U000152,14,3,4,3,0,3,1,1,23
U000153,12,0,5,3,0,6,1,1,21
U000154,11,5,10,6,1,5,2,1,29
U000155,5,3,4,3,5,9,1,1,17
U000156,14,3,6,3,0,4,2,1,33
U000157,12,8,8,9,0,11,1,1,26
U000158,16,1,6,3,2,6,5,0,19
U000159,15,3,4,6,0,5,0,2,21
U000160,14,1,4,2,1,3,2,0,17
U000161,11,3,5,4,0,3,1,0,22
U000162,11,0,4,3,7,1,2,1,13
U000163,7,1,4,0,0,2,2,1,17
U000164,6,0,3,4,3,2,0,0,11
U000165,11,3,6,2,1,5,0,0,23
U000166,15,0,2,3,0,4,3,0,19
U000167,15,0,6,2,0,9,1,0,21
U000168,13,1,3,4,4,8,3,0,22
U000169,11,1,6,3,0,4,1,0,8
U000170,13,2,4,2,0,3,1,1,18
U000171,17,6,5,4,0,5,4,1,23
U000172,13,0,5,0,0,0,3,1,17
U000173,17,6,10,6,0,9,1,3,20
U000174,13,0,6,2,0,1,1,0,14
U000175,16,6,8,1,3,7,3,3,13
U000176,8,1,6,1,0,3,1,0,23
U000177,18,0,6,0,1,4,2,0,17
U000178,12,1,7,3,1,3,0,1,20
U000179,11,2,4,1,0,2,1,2,19
U000180,20,2,9,2,1,7,1,1,26
U000181,8,0,3,2,0,7,0,2,23
U000182,18,1,7,1,0,13,2,1,20
U000183,7,4,3,5,0,11,4,1,18
U000184,12,4,3,3,0,3,0,2,25
U000185,16,2,5,6,0,3,1,1,22
U000186,10,2,5,1,0,2,0,5,13
U000187,11,4,8,2,3,5,1,2,26
U000188,17,5,6,6,0,11,2,0,23
U000189,17,2,5,1,1,7,1,0,17
U000190,23,3,13,4,0,12,3,1,35
U000191,15,4,10,3,1,6,0,3,28
U000192,11,2,2,1,2,2,1,0,10
U000193,12,1,3,2,0,2,0,1,18
U000194,7,0,6,1,3,6,0,0,10
U000195,9,3,4,1,0,3,1,0,12
U000196,16,2,4,1,0,6,4,1,22
U000197,16,3,7,6,0,0,0,1,12
U000198,17,3,6,4,6,3,1,1,22
U000199,10,1,5,2,0,7,2,1,17
U000200,12,0,1,4,1,8,0,0,27
U000201,5,0,7,2,0,2,1,0,20
U000202,13,4,6,4,0,5,1,0,22
U000203,16,4,6,4,0,6,0,0,20
U000204,10,3,9,1,0,9,1,0,22
U000205,10,3,7,2,2,4,0,1,21
U000206,15,3,10,2,0,8,3,0,22
U000207,18,3,4,6,1,7,2,0,26
U000208,8,0,8,2,0,8,0,1,20
U000209,18,4,9,3,1,7,1,0,17
U000210,18,5,4,5,1,6,0,1,26
U000211,10,2,4,2,4,3,1,2,15
U000212,15,1,4,3,0,4,3,0,14
U000213,14,0,3,2,0,4,0,0,20
U000214,17,0,15,1,1,8,2,1,24
U000215,16,2,8,6,0,4,0,0,30
U000216,15,2,5,4,0,13,0,0,16
U000217,16,2,5,5,1,3,0,1,20
U000218,9,1,1,1,0,5,0,0,10
U000219,4,0,1,1,5,0,1,1,6
U000220,9,3,4,1,3,3,1,1,22
U000221,13,4,1,3,0,7,1,2,25
U000222,17,2,3,6,1,4,0,1,33
U000223,12,2,5,3,0,8,1,1,30
U000224,6,2,3,4,1,7,0,0,17
U000225,5,0,4,0,5,3,1,2,16
U000226,18,1,6,6,0,7,1,2,28
U000227,9,2,4,3,0,4,3,1,14
U000228,13,2,8,3,0,8,2,0,21
U000229,18,1,3,2,0,4,1,1,17
U000230,15,2,8,4,0,6,2,2,28
U000231,18,6,6,4,0,7,1,1,21
U000232,16,0,9,2,3,6,1,1,25
U000233,20,1,4,3,0,7,1,2,22
U000234,12,1,4,4,0,5,3,2,15
U000235,23,1,4,4,1,2,2,1,21
U000236,19,3,6,8,0,7,1,3,23
U000237,7,0,2,3,2,1,0,0,6
U000238,11,1,2,3,0,3,0,2,17
U000239,19,0,5,3,1,6,2,0,31
U000240,12,4,9,3,1,7,3,1,28
U000241,15,4,3,3,0,6,0,2,24
U000242,15,3,5,4,2,7,1,0,15
U000243,13,0,4,4,0,7,4,0,22
U000244,12,0,9,0,0,6,1,0,18
U000245,10,4,6,2,1,8,0,0,10
U000246,22,2,1,4,0,4,0,1,27
U000247,11,1,5,4,0,1,2,0,22
U000248,2,0,4,2,4,5,0,0,11
U000249,14,1,6,2,5,4,0,1,27
U000250,6,0,7,4,3,3,1,0,13
U000251,11,1,4,3,0,3,0,1,25
U000252,19,3,3,2,0,5,1,1,34
U000253,11,0,8,2,1,5,2,2,9
U000254,10,0,6,1,0,9,1,1,27
U000255,16,2,10,5,1,12,2,0,18
U000256,12,4,9,3,0,6,0,0,24
U000257,13,3,7,4,0,6,1,2,23
U000258,19,1,7,3,0,5,2,2,13
U000259,25,9,8,2,1,5,0,2,28
U000260,9,3,6,1,0,7,3,0,29
U000261,19,0,7,1,0,6,0,1,20
U000262,5,0,3,4,2,6,1,0,11
U000263,13,1,6,0,0,12,1,3,21
U000264,10,0,5,4,0,4,2,1,15
U000265,11,0,3,0,1,1,2,0,10
U000266,13,1,9,5,0,6,2,1,15
U000267,15,0,4,1,1,8,1,0,20
U000268,18,4,6,3,0,2,3,1,30
U000269,14,2,9,2,1,4,3,2,25
U000270,18,4,7,4,1,6,1,0,18
U000271,8,0,5,2,0,4,0,0,14
U000272,11,2,5,3,0,11,0,1,17
U000273,7,1,7,5,2,4,3,2,17
U000274,8,0,0,4,1,2,1,1,8
U000275,12,0,1,2,0,4,3,1,18
U000276,13,7,8,3,0,7,3,0,30
U000277,9,0,3,2,4,6,1,1,17
U000278,10,4,3,1,0,4,0,3,21
U000279,18,4,3,2,7,8,2,4,24
U000280,12,4,4,2,1,9,1,0,29
U000281,8,4,7,2,4,2,0,0,21
U000282,19,5,7,5,0,5,0,1,22
U000283,18,4,7,2,0,5,0,1,24
U000284,9,1,7,2,1,5,0,0,18
U000285,13,1,5,2,0,5,0,1,29
U000286,11,1,3,3,0,2,1,0,25
U000287,18,3,5,4,0,7,3,3,26
U000288,12,0,5,4,0,5,2,0,23
U000289,23,2,9,5,0,1,3,2,22
U000290,7,3,7,3,0,2,0,2,20
U000291,14,2,9,1,0,4,2,1,17
U000292,9,1,3,2,0,1,1,3,9
U000293,12,1,5,2,0,5,3,0,16
U000294,14,2,5,3,1,3,1,2,22
U000295,19,3,8,2,1,8,0,0,24
U000296,11,0,5,2,0,8,0,1,15
U000297,16,4,4,1,2,2,0,2,25
U000298,13,3,1,4,0,8,1,0,23
U000299,8,0,14,2,1,12,3,1,23
U000300,20,4,4,4,0,8,1,2,21
U000301,14,3,7,6,0,6,4,1,28
U000302,20,2,9,6,0,8,3,2,25
U000303,7,1,5,1,3,0,0,1,17
U000304,10,1,2,3,1,2,0,2,13
U000305,7,2,7,2,5,8,1,0,20
U000306,10,0,5,4,1,3,0,0,21
U000307,18,4,10,3,1,6,3,2,33
U000308,5,0,4,0,6,2,0,2,7
U000309,11,3,4,4,0,6,0,0,29
U000310,18,6,5,5,0,9,1,2,37
U000311,13,4,5,5,0,4,3,0,21
U000312,12,4,7,1,1,8,0,0,21
U000313,11,4,8,1,0,7,0,1,23
U000314,12,2,1,3,0,4,1,1,13
U000315,6,0,10,2,0,5,1,1,18
U000316,6,3,9,2,0,3,1,1,18
U000317,7,0,4,3,1,1,1,1,10
U000318,10,2,4,3,0,6,1,3,20
U000319,9,1,7,2,0,7,0,1,7
U000320,15,3,10,4,3,9,1,0,18
U000321,12,7,8,5,0,5,1,1,22
U000322,9,5,6,5,1,2,2,1,18
U000323,7,1,7,1,1,4,0,0,21
U000324,11,4,9,3,0,3,2,0,27
U000325,14,4,2,5,0,10,1,2,32
U000326,11,1,3,5,0,3,1,1,20
U000327,14,1,7,6,0,10,1,2,24
U000328,7,0,4,3,0,2,1,2,17
U000329,9,2,1,1,0,3,1,1,18
U000330,12,6,6,1,4,7,2,2,19
U000331,5,0,4,2,0,5,0,0,17
U000332,21,3,12,4,0,6,2,1,40
U000333,16,2,4,7,0,7,1,1,40
U000334,10,0,7,2,2,3,2,0,18
U000335,11,2,6,3,0,8,2,0,16
U000336,20,2,5,6,0,5,0,0,27
U000337,8,2,4,3,0,6,3,0,22
U000338,12,1,3,1,0,6,0,1,15
U000339,18,5,7,4,1,9,2,0,16
U000340,13,3,8,5,0,4,2,0,25
U000341,13,1,4,2,0,0,0,0,27
U000342,14,3,6,6,1,7,2,1,21
U000343,13,3,8,0,1,9,2,0,19
U000344,16,7,6,2,2,10,1,1,24
U000345,24,2,7,3,0,13,2,2,36
U000346,11,1,7,1,4,3,1,1,25
U000347,11,4,7,7,11,6,4,2,15
U000348,4,0,4,1,3,3,0,0,12
U000349,13,3,3,5,0,5,4,0,22
U000350,8,0,6,6,0,2,0,5,25
U000351,4,2,6,1,0,5,0,1,11
U000352,11,4,8,6,4,2,1,2,21
U000353,9,2,1,5,1,5,3,0,22
U000354,6,0,3,2,4,7,0,1,16
U000355,6,1,4,3,0,4,0,1,17
U000356,14,7,12,3,0,3,2,0,33
U000357,14,3,3,3,1,2,1,3,26
U000358,10,0,7,3,0,5,1,1,18
U000359,18,3,6,5,0,6,3,0,43
U000360,10,0,1,1,4,2,1,3,16
U000361,14,5,8,1,0,4,0,1,27
U000362,8,6,9,3,1,5,0,1,13
U000363,9,0,4,3,3,5,0,2,9
U000364,10,0,7,3,1,2,1,1,20
U000365,10,4,3,7,1,8,2,0,22
U000366,7,1,5,2,0,6,0,1,15
U000367,10,0,4,0,2,4,2,0,13
U000368,10,0,4,2,0,6,1,1,14
U000369,14,2,4,4,0,4,0,1,14
U000370,13,2,6,3,0,7,0,2,22
U000371,10,0,9,0,1,5,1,0,15
U000372,10,0,6,3,2,2,2,1,13
U000373,11,2,8,2,0,2,0,1,13
U000374,18,3,7,2,0,2,1,0,21
U000375,22,5,7,9,0,6,0,1,33
U000376,6,0,4,1,0,2,0,1,13
U000377,14,0,5,2,0,6,4,1,18
U000378,20,2,4,3,0,9,2,1,16
U000379,20,5,7,3,0,9,1,0,30
U000380,14,1,1,5,0,8,1,0,20
U000381,13,6,7,4,0,5,3,2,24
U000382,17,6,5,0,0,6,1,0,28
U000383,8,0,4,3,0,4,0,0,11
U000384,16,1,5,3,0,6,3,1,28
U000385,9,1,2,0,1,4,1,2,15
U000386,23,2,7,5,2,11,2,1,27
U000387,5,0,6,3,0,4,2,1,17
U000388,11,0,3,2,0,3,4,0,12
U000389,13,3,3,3,5,1,2,0,28
U000390,10,1,4,6,1,5,1,0,14
U000391,22,3,6,7,0,11,2,1,40
U000392,18,2,6,4,0,10,2,1,23
U000393,11,1,9,2,0,4,1,0,21
U000394,9,1,2,1,3,6,0,0,5
U000395,17,8,5,5,0,6,2,1,23
U000396,10,1,2,2,0,2,2,1,3
U000397,8,1,5,2,5,7,1,0,16
U000398,11,7,6,2,1,10,2,2,24
U000399,11,1,8,2,0,2,1,0,21
U000400,16,5,8,7,2,5,1,0,24
U000401,14,6,13,4,0,1,2,0,29
U000402,10,4,8,4,0,5,1,0,27
U000403,18,4,4,2,1,9,1,0,26
U000404,8,5,7,2,0,6,0,0,20
U000405,9,3,2,3,2,4,0,2,12
U000406,15,1,2,2,0,8,2,2,16
U000407,12,1,5,5,0,1,1,0,13
U000408,10,2,6,3,0,1,2,1,17
U000409,14,1,8,2,0,5,0,1,21
U000410,26,4,6,7,0,10,3,3,27
U000411,19,6,8,5,0,7,1,1,21
U000412,7,3,6,5,1,6,1,1,15
U000413,18,5,11,5,0,13,1,1,32
U000414,13,2,11,2,0,6,1,2,30
U000415,11,5,4,2,0,6,2,0,21
U000416,13,3,0,4,0,7,3,1,27
U000417,7,1,8,7,0,3,4,1,16
U000418,13,4,10,1,0,5,3,0,23
U000419,5,0,2,2,2,8,0,1,16
U000420,18,2,9,2,3,3,3,3,21
U000421,13,6,4,2,1,6,0,2,22
U000422,10,0,3,0,1,8,0,1,12
U000423,4,1,4,2,3,3,2,0,16
U000424,17,1,7,3,5,5,1,0,22
U000425,9,1,1,1,5,7,0,2,13
U000426,23,3,6,7,0,7,1,2,25
U000427,14,2,6,1,0,9,0,2,23
U000428,7,1,4,1,2,5,3,0,19
U000429,16,3,3,3,0,3,3,0,19
U000430,7,0,3,1,3,7,0,1,13
U000431,13,5,4,2,0,6,1,1,17
U000432,15,0,7,1,0,4,0,1,17
U000433,7,5,12,3,0,8,1,1,25
U000434,11,0,9,3,0,7,3,1,13
U000435,8,2,3,0,1,8,0,0,17
U000436,11,3,7,3,0,6,2,1,29
U000437,12,0,2,3,0,6,0,0,16
U000438,10,5,6,3,0,4,1,2,26
U000439,9,0,1,0,4,5,0,1,12
U000440,16,6,10,4,1,7,2,1,28
U000441,13,1,5,1,0,3,1,0,18
U000442,21,4,10,4,0,1,0,1,25
U000443,12,2,6,4,1,9,1,0,21
U000444,13,1,4,4,3,6,0,0,26
U000445,9,0,8,0,0,6,2,3,39
U000446,11,2,4,5,0,5,0,0,21
U000447,8,1,5,0,4,4,1,1,14
U000448,11,2,6,3,1,5,1,1,16
U000449,7,0,6,2,0,2,1,1,15
U000450,11,2,3,0,0,5,2,2,23
U000451,7,3,7,2,1,2,0,0,11
U000452,20,5,8,1,1,5,4,5,29
U000453,15,4,7,4,1,6,1,1,26
U000454,6,2,9,1,1,4,0,2,12
U000455,18,5,4,5,0,4,2,2,28
U000456,8,1,6,0,0,6,1,3,19
U000457,16,2,4,4,4,1,0,1,15
U000458,16,2,6,5,0,5,2,3,25
U000459,15,7,4,3,0,4,3,1,26
U000460,9,1,4,2,1,4,1,2,19
U000461,9,0,3,3,3,6,3,1,12
U000462,9,1,5,3,0,5,3,0,22
U000463,9,0,1,2,0,5,0,1,17
U000464,8,0,6,3,1,1,1,1,21
U000465,6,2,7,2,1,2,2,0,14
U000466,13,1,6,5,1,3,1,0,20
U000467,11,1,4,3,0,2,1,0,17
U000468,10,1,8,3,0,7,0,0,19
U000469,6,1,2,2,0,3,0,2,21
U000470,20,2,8,4,1,4,1,0,19
U000471,18,6,6,4,0,3,1,1,25
U000472,11,3,11,4,5,9,1,3,16
U000473,11,1,11,6,0,6,1,0,23
U000474,13,4,7,6,0,7,4,2,26
U000475,5,1,3,3,1,5,2,0,13
U000476,8,1,4,1,7,2,0,1,11
U000477,12,4,1,3,1,6,1,0,26
U000478,23,4,14,4,0,5,0,0,31
U000479,13,1,2,1,0,6,2,0,25
U000480,16,2,5,2,0,7,0,1,17
U000481,11,0,11,6,4,4,3,1,30
U000482,17,0,3,2,0,3,1,0,21
U000483,19,2,10,5,0,3,1,1,29
U000484,9,1,4,3,0,0,1,2,16
U000485,13,0,4,3,0,4,0,1,21
U000486,17,2,11,0,3,5,3,1,13
U000487,3,0,1,4,6,4,1,1,13
U000488,21,4,8,2,0,4,1,1,21
U000489,11,0,9,1,1,1,1,2,19
U000490,12,1,5,2,1,5,3,1,15
U000491,5,1,1,2,0,2,0,2,15
U000492,15,2,7,3,0,8,1,2,10
U000493,10,0,4,1,1,6,2,2,22
U000494,15,1,3,2,0,3,1,2,13
U000495,10,5,8,0,1,10,0,1,25
U000496,16,3,6,2,1,9,0,0,30
U000497,13,6,3,2,1,13,2,0,24
U000498,18,2,7,2,1,7,3,1,27
U000499,9,4,6,3,5,8,3,0,12
U000500,8,0,6,1,0,1,3,3,13
U000501,14,0,6,1,0,8,1,0,20
U000502,6,0,3,3,0,6,0,0,22
U000503,9,0,5,2,0,3,1,0,28
U000504,12,3,9,2,0,8,1,4,36
U000505,14,4,9,3,1,10,4,0,24
U000506,7,3,8,4,0,11,1,0,21
U000507,11,4,4,3,0,4,2,0,16
U000508,19,6,5,2,0,4,0,2,30
U000509,4,1,4,1,2,2,0,1,9
U000510,16,1,4,3,0,4,2,2,27
U000511,13,0,3,1,6,7,0,3,13
U000512,11,4,5,1,0,9,1,0,21
U000513,15,5,4,5,0,5,4,0,22
U000514,8,0,1,2,0,5,1,0,21
U000515,8,0,5,0,1,5,0,0,14
U000516,16,2,9,4,1,6,0,1,14
U000517,19,6,9,3,0,2,1,0,34
U000518,12,7,6,5,0,8,2,1,24
U000519,9,1,5,4,0,4,2,0,19
U000520,20,4,4,2,0,5,0,1,30
U000521,22,2,4,5,2,9,0,1,25
U000522,6,0,5,2,5,6,0,2,8
U000523,9,1,5,4,0,9,0,1,32
U000524,18,8,9,1,1,6,0,0,22
U000525,3,1,3,1,0,7,2,0,10
U000526,18,5,7,1,1,6,2,3,30
U000527,14,3,4,0,0,7,2,0,16
U000528,18,1,3,0,0,4,1,1,20
U000529,14,0,7,1,3,3,0,0,23
U000530,7,3,7,7,0,10,0,0,21
U000531,18,6,7,2,3,7,1,1,21
U000532,4,0,1,1,1,2,0,1,7
U000533,18,1,6,4,1,6,1,0,12
U000534,12,7,5,0,0,8,1,0,23
U000535,12,0,3,2,4,5,2,0,18
U000536,15,1,3,1,1,4,0,1,9
U000537,18,5,4,2,0,6,0,1,23
U000538,12,4,3,2,0,6,1,1,21
U000539,27,7,7,8,0,10,2,1,23
U000540,9,2,0,2,0,3,0,1,15
U000541,16,2,6,5,0,6,0,1,21
U000542,18,8,7,5,0,3,1,4,31
U000543,11,0,7,0,1,2,1,0,18
U000544,18,2,2,2,0,3,0,1,26
U000545,10,3,1,2,0,5,2,0,17
U000546,10,1,3,1,1,3,1,0,14
U000547,15,4,7,2,0,8,1,0,20
U000548,11,2,6,2,0,7,1,0,34
U000549,15,7,3,2,1,9,0,2,32
U000550,22,6,6,6,0,6,3,1,24
U000551,9,0,4,2,0,7,0,0,25
U000552,12,2,6,0,0,5,2,2,23
U000553,9,0,7,7,0,3,0,1,24
U000554,14,2,8,4,2,5,1,2,28
U000555,13,5,5,2,0,6,2,1,24
U000556,12,2,1,2,1,1,2,1,25
U000557,13,5,5,4,1,13,1,1,20
U000558,14,2,4,4,0,5,2,1,21
U000559,11,1,2,3,1,6,0,1,15
U000560,13,3,3,6,0,3,1,2,18
U000561,14,3,7,5,4,7,2,0,12
U000562,19,1,3,3,0,2,0,2,17
U000563,17,4,3,3,0,6,0,1,17
U000564,13,3,7,5,1,9,1,1,27
U000565,10,0,6,3,0,6,0,0,17
U000566,11,0,3,2,1,0,0,1,8
U000567,9,1,3,2,1,4,0,1,16
U000568,7,0,7,3,0,6,1,2,22
U000569,10,2,4,2,0,4,1,1,22
U000570,5,1,6,1,3,0,0,2,14
U000571,17,0,8,6,1,6,0,1,12
U000572,9,0,5,1,2,7,2,1,18
U000573,16,0,5,3,6,7,0,1,22
U000574,13,0,4,4,1,3,2,1,9
U000575,12,0,4,0,0,3,1,1,17
U000576,11,2,5,1,0,3,1,3,31
U000577,18,7,7,3,0,7,3,2,34
U000578,14,3,8,3,0,6,0,0,22
U000579,13,2,3,3,5,5,4,2,20
U000580,11,4,4,2,0,8,0,0,23
U000581,14,0,3,2,0,7,1,0,19
U000582,11,4,5,3,0,5,2,0,21
U000583,12,0,3,0,1,1,1,1,9
U000584,13,5,5,6,1,4,1,3,24
U000585,9,3,10,3,2,3,2,1,23
U000586,19,3,8,4,1,10,1,0,30
U000587,9,4,1,2,5,5,3,1,17
U000588,11,0,1,2,0,6,0,1,19
U000589,14,0,8,2,1,8,0,0,15
U000590,10,1,9,0,1,1,2,1,27
U000591,13,1,1,1,0,6,0,1,19
U000592,8,0,10,3,1,4,0,2,13
U000593,16,0,4,3,0,4,1,2,18
U000594,8,2,7,0,0,4,0,0,14
U000595,13,5,8,3,0,6,1,1,20
U000596,11,0,4,5,0,7,0,1,19
U000597,25,4,9,6,0,6,0,1,30
U000598,15,2,3,3,1,4,1,1,18
U000599,6,1,3,3,0,6,1,0,15
U000600,9,0,1,1,0,1,1,0,10
U000601,17,2,9,5,1,10,3,1,35
U000602,14,0,4,3,0,5,3,1,14
U000603,8,3,1,1,5,6,1,1,15
U000604,7,1,5,6,2,7,1,1,15
U000605,11,5,10,2,0,1,0,1,22
U000606,14,1,6,1,0,4,1,1,23
U000607,15,1,11,1,1,2,1,2,26
U000608,8,4,12,1,1,1,0,4,19
U000609,11,4,5,4,1,6,0,0,22
U000610,16,1,9,3,2,4,0,1,18
U000611,14,9,4,2,0,5,1,2,15
U000612,7,1,8,4,0,3,0,1,14
U000613,11,6,11,4,0,5,2,1,28
U000614,10,0,3,1,1,5,0,0,9
U000615,8,0,3,3,0,8,2,0,9
U000616,11,1,4,1,8,4,0,0,10
U000617,11,2,4,2,1,4,0,2,12
U000618,9,3,2,2,2,3,1,2,15
U000619,9,1,6,2,0,6,2,2,18
U000620,11,3,6,2,0,8,0,0,27
U000621,8,0,2,2,3,4,1,0,12
U000622,15,2,14,1,0,3,3,1,25
U000623,11,1,7,2,0,4,1,0,19
U000624,16,2,5,5,0,4,2,1,30
U000625,12,0,3,1,0,7,0,0,18
U000626,14,0,4,2,2,5,0,0,11
U000627,4,1,0,2,6,4,2,0,12
U000628,14,2,9,2,0,4,0,0,17
U000629,13,0,1,2,0,1,0,1,6
U000630,14,0,9,5,1,5,1,0,12
U000631,7,0,3,1,1,0,1,2,13
U000632,10,6,8,4,0,5,2,0,14
