month,plan,mrr,customers,arpu,revenue_contribution_pct
2025-02-01,Enterprise,209149.0,1051,199.0,1.077968163322106
2026-07-01,Starter,205117.0,7073,29.0,1.0571869612388318
2026-06-01,Starter,205059.0,7071,29.0,1.0568880252961657
2024-11-01,Professional,200660.0,2540,79.0,1.0342152802653315
2026-05-01,Starter,198186.0,6834,29.0,1.0214641160902271
2025-01-01,Enterprise,195219.0,981,199.0,1.0061719964024605
2026-04-01,Starter,191197.0,6593,29.0,0.9854423349989563
2026-03-01,Starter,185571.0,6399,29.0,0.9564455485603399
2024-10-01,Professional,183675.0,2325,79.0,0.9466734356759432
2024-12-01,Enterprise,179100.0,900,199.0,0.9230935746811565
2026-02-01,Starter,178350.0,6150,29.0,0.9192280236984046
2026-01-01,Starter,172666.0,5954,29.0,0.889932301317122
2024-09-01,Professional,167085.0,2115,79.0,0.8611674479374708
2025-12-01,Starter,165764.0,5716,29.0,0.8543589241398505
2024-11-01,Enterprise,162583.0,817,199.0,0.8379638339050054
2025-11-01,Starter,159355.0,5495,29.0,0.8213265024752411
2025-10-01,Starter,153323.0,5287,29.0,0.7902371644379618
2024-08-01,Professional,150416.0,1904,79.0,0.7752542888288153
2024-10-01,Enterprise,147857.0,743,199.0,0.7620650288756659
2025-09-01,Starter,145725.0,5025,29.0,0.7510765559486964
2025-08-01,Starter,139751.0,4819,29.0,0.7202861538540832
2024-09-01,Enterprise,132932.0,668,199.0,0.6851405643189028
2025-07-01,Starter,132559.0,4571,29.0,0.6832180969634808
2024-07-01,Professional,131140.0,1660,79.0,0.6759044745041142
2025-06-01,Starter,126527.0,4363,29.0,0.6521287589262015
2025-05-01,Starter,119654.0,4126,29.0,0.616704849720263
2024-08-01,Enterprise,114425.0,575,199.0,0.5897542282685166
2025-04-01,Starter,113477.0,3913,29.0,0.5848681718263182
2024-06-01,Professional,109178.0,1382,79.0,0.5627108335931843
2025-03-01,Starter,107329.0,3701,29.0,0.5531809619037066
2024-07-01,Enterprise,101689.0,511,199.0,0.5241120185134122
2025-02-01,Starter,100572.0,3468,29.0,0.5183549245831003
2025-01-01,Starter,94656.0,3264,29.0,0.4878634584311532
2024-05-01,Professional,91087.0,1153,79.0,0.46946858982123113
2024-12-01,Starter,88015.0,3035,29.0,0.45363529299587935
2024-06-01,Enterprise,86565.0,435,199.0,0.4461618944292256
2024-11-01,Starter,80098.0,2762,29.0,0.41283053682195014
2024-04-01,Professional,73233.0,927,79.0,0.3774478601598276
2024-10-01,Starter,72877.0,2513,29.0,0.37561301196001473
2024-05-01,Enterprise,71242.0,358,199.0,0.3671861108176156
2024-09-01,Starter,65685.0,2265,29.0,0.3385449550694124
2024-08-01,Starter,59102.0,2038,29.0,0.3046157255768046
2024-04-01,Enterprise,55720.0,280,199.0,0.28718466767858203
2024-03-01,Professional,53641.0,679,79.0,0.2764693603543937
2024-07-01,Starter,52026.0,1794,29.0,0.2681455405715346
2024-06-01,Starter,45182.0,1558,29.0,0.23287109933692918
2024-03-01,Enterprise,40397.0,203,199.0,0.20820888406697197
2024-05-01,Starter,38483.0,1327,29.0,0.1983439979589891
2024-02-01,Professional,33101.0,419,79.0,0.17060480410676138
2024-04-01,Starter,29899.0,1031,29.0,0.1541014784443992
2024-02-01,Enterprise,24676.0,124,199.0,0.1271817814005149
2024-03-01,Starter,21518.0,742,29.0,0.11090523472914085
2024-01-01,Professional,15563.0,197,79.0,0.08021275992609067
2024-02-01,Starter,13688.0,472,29.0,0.07054888246921089
2024-01-01,Enterprise,11542.0,58,199.0,0.059488252590563416
2024-01-01,Starter,5742.0,198,29.0,0.029594658323948635
2025-03-01,Free,0.0,5866,0.0,0.0
2024-12-01,Free,0.0,4610,0.0,0.0
2025-02-01,Free,0.0,5442,0.0,0.0
2024-09-01,Free,0.0,3391,0.0,0.0
2024-08-01,Free,0.0,2987,0.0,0.0
2024-10-01,Free,0.0,3805,0.0,0.0
2025-01-01,Free,0.0,5053,0.0,0.0
2024-05-01,Free,0.0,1855,0.0,0.0
2024-03-01,Free,0.0,1059,0.0,0.0
2024-01-01,Free,0.0,276,0.0,0.0
2024-02-01,Free,0.0,666,0.0,0.0
2024-06-01,Free,0.0,2229,0.0,0.0
2024-04-01,Free,0.0,1447,0.0,0.0
2024-07-01,Free,0.0,2612,0.0,0.0
2024-11-01,Free,0.0,4191,0.0,0.0
2025-11-01,Free,0.0,9035,0.0,0.0
2025-10-01,Free,0.0,8660,0.0,0.0
2025-08-01,Free,0.0,7869,0.0,0.0
2025-09-01,Free,0.0,8272,0.0,0.0
2025-05-01,Free,0.0,6665,0.0,0.0
2025-04-01,Free,0.0,6259,0.0,0.0
2025-06-01,Free,0.0,7060,0.0,0.0
2025-07-01,Free,0.0,7439,0.0,0.0
2026-03-01,Free,0.0,10635,0.0,0.0
2026-02-01,Free,0.0,10245,0.0,0.0
2025-12-01,Free,0.0,9445,0.0,0.0
2026-01-01,Free,0.0,9859,0.0,0.0
2026-05-01,Free,0.0,11471,0.0,0.0
2026-04-01,Free,0.0,11049,0.0,0.0
2026-06-01,Free,0.0,11888,0.0,0.0
2026-07-01,Free,0.0,11993,0.0,0.0
