cohort_month,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30
2024-11-01,100.0,256.5982404692082,280.05865102639297,282.99120234604106,288.56304985337243,284.45747800586514,284.45747800586514,285.33724340175957,280.05865102639297,276.8328445747801,270.674486803519,270.0879765395894,254.54545454545453,247.5073313782991,239.00293255131965,215.5425219941349,216.4222873900293,195.01466275659826,180.05865102639297,167.15542521994135,295.30791788856305,,,,,,,,,,
2024-12-01,100.0,227.1356783919598,238.94472361809048,243.46733668341707,242.71356783919597,244.72361809045228,243.46733668341707,241.45728643216083,237.1859296482412,234.42211055276383,232.66331658291458,222.61306532663318,214.32160804020103,207.53768844221105,191.95979899497488,187.1859296482412,179.64824120603015,160.80402010050253,148.74371859296483,250.7537688442211,,,,,,,,,,,
2025-01-01,100.0,197.6086956521739,214.7826086956522,217.60869565217394,216.08695652173915,214.7826086956522,215.43478260869566,212.6086956521739,208.91304347826085,207.39130434782606,200.2173913043478,193.47826086956522,188.2608695652174,173.04347826086956,172.17391304347828,159.1304347826087,148.91304347826087,133.47826086956522,220.43478260869566,,,,,,,,,,,,
2025-02-01,100.0,217.74580335731412,226.85851318944844,228.77697841726618,227.33812949640287,228.77697841726618,227.33812949640287,223.7410071942446,224.46043165467623,216.06714628297362,212.23021582733816,203.59712230215828,188.72901678657075,186.57074340527578,167.1462829736211,160.1918465227818,147.96163069544363,231.17505995203834,,,,,,,,,,,,,
2025-03-01,100.0,189.3491124260355,197.63313609467457,198.2248520710059,199.8027613412229,199.2110453648915,195.66074950690336,194.2800788954635,189.5463510848126,184.6153846153846,182.05128205128204,168.83629191321498,164.49704142011834,157.39644970414201,143.5897435897436,130.96646942800788,200.0,,,,,,,,,,,,,,
2025-04-01,100.0,188.45360824742266,194.22680412371133,194.63917525773195,192.57731958762886,194.02061855670104,192.57731958762886,188.04123711340205,185.77319587628867,181.44329896907217,170.9278350515464,168.4536082474227,154.43298969072166,150.30927835051546,137.5257731958763,195.6701030927835,,,,,,,,,,,,,,,
2025-05-01,100.0,186.92307692307693,193.26923076923077,194.03846153846155,192.1153846153846,192.1153846153846,189.8076923076923,188.07692307692307,187.30769230769232,176.34615384615384,169.8076923076923,162.8846153846154,159.23076923076923,141.15384615384616,193.46153846153845,,,,,,,,,,,,,,,,
2025-06-01,100.0,173.97769516728624,175.8364312267658,175.4646840148699,175.4646840148699,175.2788104089219,173.23420074349443,169.88847583643124,164.4981412639405,160.96654275092936,149.81412639405204,147.5836431226766,131.41263940520446,175.65055762081784,,,,,,,,,,,,,,,,,
2025-07-01,100.0,171.2305025996534,173.3102253032929,173.83015597920277,172.79029462738302,170.71057192374352,170.71057192374352,164.29809358752166,166.55112651646448,158.578856152513,145.580589254766,139.3414211438475,172.79029462738302,,,,,,,,,,,,,,,,,,
2025-08-01,100.0,159.32721712538228,159.9388379204893,159.32721712538228,160.09174311926606,159.1743119266055,156.88073394495413,153.6697247706422,149.08256880733944,144.18960244648318,131.80428134556576,160.39755351681956,,,,,,,,,,,,,,,,,,,
2025-09-01,100.0,157.78816199376945,157.47663551401868,157.47663551401868,157.3208722741433,155.60747663551402,155.45171339563865,150.1557632398754,145.6386292834891,136.4485981308411,157.78816199376945,,,,,,,,,,,,,,,,,,,,
2025-10-01,100.0,146.60326086956522,146.73913043478262,146.875,146.05978260869566,144.83695652173913,142.3913043478261,140.48913043478262,132.47282608695653,146.60326086956522,,,,,,,,,,,,,,,,,,,,,
2025-11-01,100.0,142.98642533936652,143.13725490196077,143.13725490196077,142.0814479638009,141.6289592760181,139.36651583710406,132.27752639517345,142.83559577677224,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,100.0,134.37908496732027,134.37908496732027,134.37908496732027,134.2483660130719,132.2875816993464,127.84313725490195,134.1176470588235,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,100.0,123.05854241338112,123.05854241338112,123.05854241338112,122.22222222222223,119.71326164874552,122.93906810035841,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-01,100.0,123.08724832214766,123.08724832214766,122.9530201342282,122.28187919463087,123.08724832214766,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-01,100.0,114.70923603192702,114.70923603192702,114.70923603192702,114.59521094640822,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,100.0,111.784140969163,111.784140969163,111.67400881057267,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01,100.0,105.0367261280168,105.0367261280168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,100.0,102.56663376110562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
