cohort_month,months_since_signup,active_users,cohort_size,retention_rate
2024-03-01,2,858,279,307.5268817204301
2024-03-01,3,894,279,320.4301075268817
2024-03-01,4,932,279,334.0501792114695
2024-03-01,5,925,279,331.5412186379928
2024-03-01,6,911,279,326.52329749103944
2024-03-01,7,917,279,328.673835125448
2024-03-01,8,910,279,326.1648745519713
2024-03-01,9,898,279,321.8637992831541
2024-03-01,10,885,279,317.2043010752688
2024-03-01,11,845,279,302.8673835125448
2024-03-01,12,876,279,313.9784946236559
2024-03-01,13,828,279,296.7741935483871
2024-03-01,14,828,279,296.7741935483871
2024-03-01,15,805,279,288.5304659498208
2024-03-01,16,799,279,286.37992831541214
2024-03-01,17,774,279,277.4193548387097
2024-03-01,18,726,279,260.21505376344084
2024-03-01,19,695,279,249.10394265232975
2024-03-01,20,638,279,228.67383512544802
2024-03-01,21,635,279,227.59856630824373
2024-03-01,22,614,279,220.07168458781362
2024-03-01,23,520,279,186.3799283154122
2024-03-01,24,564,279,202.1505376344086
2024-03-01,25,493,279,176.70250896057348
2024-03-01,26,459,279,164.51612903225808
2024-03-01,27,448,279,160.57347670250897
2024-03-01,28,990,279,354.83870967741933
2024-04-01,0,292,292,100.0
2024-04-01,1,772,292,264.3835616438356
2024-04-01,2,878,292,300.6849315068493
2024-04-01,3,912,292,312.32876712328766
2024-04-01,4,913,292,312.67123287671234
2024-04-01,5,928,292,317.8082191780822
2024-04-01,6,922,292,315.75342465753425
2024-04-01,7,914,292,313.01369863013696
2024-04-01,8,929,292,318.1506849315069
2024-04-01,9,898,292,307.5342465753425
2024-04-01,10,878,292,300.6849315068493
2024-04-01,11,898,292,307.5342465753425
2024-04-01,12,862,292,295.2054794520548
2024-04-01,13,860,292,294.52054794520546
2024-04-01,14,829,292,283.9041095890411
2024-04-01,15,810,292,277.3972602739726
2024-04-01,16,780,292,267.1232876712329
2024-04-01,17,744,292,254.7945205479452
2024-04-01,18,720,292,246.57534246575344
2024-04-01,19,699,292,239.3835616438356
2024-04-01,20,656,292,224.65753424657535
2024-04-01,21,631,292,216.0958904109589
2024-04-01,22,531,292,181.84931506849315
2024-04-01,23,574,292,196.57534246575344
2024-04-01,24,536,292,183.56164383561645
2024-04-01,25,482,292,165.06849315068493
2024-04-01,26,449,292,153.76712328767124
2024-04-01,27,996,292,341.0958904109589
2024-05-01,0,313,313,100.0
2024-05-01,1,783,313,250.1597444089457
2024-05-01,2,904,313,288.81789137380196
2024-05-01,3,941,313,300.63897763578274
2024-05-01,4,932,313,297.7635782747604
2024-05-01,5,956,313,305.43130990415335
2024-05-01,6,957,313,305.75079872204475
2024-05-01,7,967,313,308.94568690095844
2024-05-01,8,929,313,296.80511182108626
2024-05-01,9,912,313,291.3738019169329
2024-05-01,10,922,313,294.56869009584665
2024-05-01,11,906,313,289.4568690095847
2024-05-01,12,872,313,278.594249201278
2024-05-01,13,847,313,270.60702875399363
2024-05-01,14,848,313,270.926517571885
2024-05-01,15,810,313,258.7859424920128
2024-05-01,16,766,313,244.72843450479235
2024-05-01,17,777,313,248.24281150159746
2024-05-01,18,731,313,233.54632587859422
2024-05-01,19,683,313,218.21086261980832
2024-05-01,20,664,313,212.1405750798722
2024-05-01,21,621,313,198.40255591054313
2024-05-01,22,596,313,190.4153354632588
2024-05-01,23,573,313,183.06709265175718
2024-05-01,24,512,313,163.57827476038338
2024-05-01,25,479,313,153.03514376996804
2024-05-01,26,1011,313,323.0031948881789
2024-06-01,0,273,273,100.0
2024-06-01,1,762,273,279.1208791208791
2024-06-01,2,836,273,306.2271062271062
2024-06-01,3,891,273,326.3736263736264
2024-06-01,4,888,273,325.27472527472526
2024-06-01,5,871,273,319.0476190476191
2024-06-01,6,887,273,324.90842490842493
2024-06-01,7,884,273,323.8095238095238
2024-06-01,8,851,273,311.72161172161174
2024-06-01,9,865,273,316.8498168498168
2024-06-01,10,857,273,313.9194139194139
2024-06-01,11,832,273,304.76190476190476
2024-06-01,12,804,273,294.50549450549454
2024-06-01,13,799,273,292.67399267399264
2024-06-01,14,812,273,297.43589743589746
2024-06-01,15,704,273,257.87545787545787
2024-06-01,16,715,273,261.9047619047619
2024-06-01,17,708,273,259.34065934065933
2024-06-01,18,684,273,250.54945054945054
2024-06-01,19,637,273,233.33333333333334
2024-06-01,20,559,273,204.76190476190476
2024-06-01,21,570,273,208.79120879120882
2024-06-01,22,508,273,186.08058608058607
2024-06-01,23,492,273,180.21978021978023
2024-06-01,24,432,273,158.24175824175825
2024-06-01,25,933,273,341.75824175824175
2024-07-01,0,318,318,100.0
2024-07-01,1,809,318,254.40251572327045
2024-07-01,2,909,318,285.8490566037736
2024-07-01,3,936,318,294.33962264150944
2024-07-01,4,953,318,299.685534591195
2024-07-01,5,962,318,302.5157232704403
2024-07-01,6,956,318,300.62893081761007
2024-07-01,7,937,318,294.6540880503145
2024-07-01,8,933,318,293.39622641509436
2024-07-01,9,925,318,290.8805031446541
2024-07-01,10,917,318,288.36477987421387
2024-07-01,11,892,318,280.50314465408803
2024-07-01,12,879,318,276.4150943396226
2024-07-01,13,850,318,267.29559748427675
2024-07-01,14,812,318,255.34591194968553
2024-07-01,15,825,318,259.433962264151
2024-07-01,16,765,318,240.56603773584902
2024-07-01,17,745,318,234.27672955974842
2024-07-01,18,705,318,221.69811320754715
2024-07-01,19,633,318,199.0566037735849
2024-07-01,20,657,318,206.60377358490564
2024-07-01,21,598,318,188.0503144654088
2024-07-01,22,544,318,171.0691823899371
2024-07-01,23,465,318,146.22641509433961
2024-07-01,24,1004,318,315.7232704402516
2024-08-01,0,376,376,100.0
2024-08-01,1,826,376,219.68085106382978
2024-08-01,2,907,376,241.22340425531914
2024-08-01,3,931,376,247.6063829787234
2024-08-01,4,957,376,254.52127659574467
2024-08-01,5,945,376,251.32978723404253
2024-08-01,6,938,376,249.468085106383
2024-08-01,7,955,376,253.98936170212764
2024-08-01,8,919,376,244.41489361702128
2024-08-01,9,911,376,242.28723404255322
2024-08-01,10,912,376,242.55319148936172
2024-08-01,11,896,376,238.29787234042553
2024-08-01,12,845,376,224.7340425531915
2024-08-01,13,834,376,221.80851063829786
2024-08-01,14,811,376,215.69148936170214
2024-08-01,15,780,376,207.44680851063828
2024-08-01,16,752,376,200.0
2024-08-01,17,719,376,191.22340425531914
2024-08-01,18,647,376,172.0744680851064
2024-08-01,19,668,376,177.6595744680851
2024-08-01,20,608,376,161.70212765957444
2024-08-01,21,566,376,150.531914893617
2024-08-01,22,503,376,133.77659574468086
2024-08-01,23,981,376,260.9042553191489
2024-09-01,0,376,376,100.0
2024-09-01,1,899,376,239.09574468085108
2024-09-01,2,953,376,253.45744680851064
2024-09-01,3,977,376,259.8404255319149
2024-09-01,4,1007,376,267.8191489361702
2024-09-01,5,981,376,260.9042553191489
2024-09-01,6,994,376,264.3617021276596
2024-09-01,7,978,376,260.1063829787234
2024-09-01,8,976,376,259.5744680851064
2024-09-01,9,966,376,256.9148936170213
2024-09-01,10,954,376,253.72340425531914
2024-09-01,11,932,376,247.8723404255319
2024-09-01,12,913,376,242.81914893617022
2024-09-01,13,883,376,234.8404255319149
2024-09-01,14,856,376,227.6595744680851
2024-09-01,15,800,376,212.7659574468085
2024-09-01,16,785,376,208.77659574468086
2024-09-01,17,668,376,177.6595744680851
2024-09-01,18,674,376,179.25531914893617
2024-09-01,19,650,376,172.87234042553192
2024-09-01,20,615,376,163.56382978723406
2024-09-01,21,515,376,136.968085106383
2024-09-01,22,1029,376,273.67021276595744
2024-10-01,0,382,382,100.0
2024-10-01,1,883,382,231.15183246073298
2024-10-01,2,947,382,247.9057591623037
2024-10-01,3,975,382,255.23560209424085
2024-10-01,4,980,382,256.544502617801
2024-10-01,5,976,382,255.4973821989529
2024-10-01,6,982,382,257.06806282722516
2024-10-01,7,970,382,253.92670157068062
2024-10-01,8,953,382,249.4764397905759
2024-10-01,9,943,382,246.8586387434555
2024-10-01,10,913,382,239.00523560209425
2024-10-01,11,900,382,235.60209424083772
2024-10-01,12,886,382,231.93717277486908
2024-10-01,13,826,382,216.2303664921466
2024-10-01,14,833,382,218.06282722513092
2024-10-01,15,792,382,207.32984293193718
2024-10-01,16,720,382,188.48167539267016
2024-10-01,17,685,382,179.3193717277487
2024-10-01,18,642,382,168.0628272251309
2024-10-01,19,614,382,160.7329842931937
2024-10-01,20,558,382,146.07329842931938
2024-10-01,21,1007,382,263.6125654450262
2024-11-01,0,341,341,100.0
2024-11-01,1,875,341,256.5982404692082
2024-11-01,2,955,341,280.05865102639297
2024-11-01,3,965,341,282.99120234604106
2024-11-01,4,984,341,288.56304985337243
2024-11-01,5,970,341,284.45747800586514
2024-11-01,6,970,341,284.45747800586514
2024-11-01,7,973,341,285.33724340175957
2024-11-01,8,955,341,280.05865102639297
2024-11-01,9,944,341,276.8328445747801
2024-11-01,10,923,341,270.674486803519
2024-11-01,11,921,341,270.0879765395894
2024-11-01,12,868,341,254.54545454545453
2024-11-01,13,844,341,247.5073313782991
2024-11-01,14,815,341,239.00293255131965
2024-11-01,15,735,341,215.5425219941349
2024-11-01,16,738,341,216.4222873900293
2024-11-01,17,665,341,195.01466275659826
2024-11-01,18,614,341,180.05865102639297
2024-11-01,19,570,341,167.15542521994135
2024-11-01,20,1007,341,295.30791788856305
2024-12-01,0,398,398,100.0
2024-12-01,1,904,398,227.1356783919598
2024-12-01,2,951,398,238.94472361809048
2024-12-01,3,969,398,243.46733668341707
2024-12-01,4,966,398,242.71356783919597
2024-12-01,5,974,398,244.72361809045228
2024-12-01,6,969,398,243.46733668341707
2024-12-01,7,961,398,241.45728643216083
2024-12-01,8,944,398,237.1859296482412
2024-12-01,9,933,398,234.42211055276383
2024-12-01,10,926,398,232.66331658291458
2024-12-01,11,886,398,222.61306532663318
2024-12-01,12,853,398,214.32160804020103
2024-12-01,13,826,398,207.53768844221105
2024-12-01,14,764,398,191.95979899497488
2024-12-01,15,745,398,187.1859296482412
2024-12-01,16,715,398,179.64824120603015
2024-12-01,17,640,398,160.80402010050253
2024-12-01,18,592,398,148.74371859296483
2024-12-01,19,998,398,250.7537688442211
2025-01-01,0,460,460,100.0
2025-01-01,1,909,460,197.6086956521739
2025-01-01,2,988,460,214.7826086956522
2025-01-01,3,1001,460,217.60869565217394
2025-01-01,4,994,460,216.08695652173915
2025-01-01,5,988,460,214.7826086956522
2025-01-01,6,991,460,215.43478260869566
2025-01-01,7,978,460,212.6086956521739
2025-01-01,8,961,460,208.91304347826085
2025-01-01,9,954,460,207.39130434782606
2025-01-01,10,921,460,200.2173913043478
2025-01-01,11,890,460,193.47826086956522
2025-01-01,12,866,460,188.2608695652174
2025-01-01,13,796,460,173.04347826086956
2025-01-01,14,792,460,172.17391304347828
2025-01-01,15,732,460,159.1304347826087
2025-01-01,16,685,460,148.91304347826087
2025-01-01,17,614,460,133.47826086956522
2025-01-01,18,1014,460,220.43478260869566
2025-02-01,0,417,417,100.0
2025-02-01,1,908,417,217.74580335731412
2025-02-01,2,946,417,226.85851318944844
2025-02-01,3,954,417,228.77697841726618
2025-02-01,4,948,417,227.33812949640287
2025-02-01,5,954,417,228.77697841726618
2025-02-01,6,948,417,227.33812949640287
2025-02-01,7,933,417,223.7410071942446
2025-02-01,8,936,417,224.46043165467623
2025-02-01,9,901,417,216.06714628297362
2025-02-01,10,885,417,212.23021582733816
2025-02-01,11,849,417,203.59712230215828
2025-02-01,12,787,417,188.72901678657075
2025-02-01,13,778,417,186.57074340527578
2025-02-01,14,697,417,167.1462829736211
2025-02-01,15,668,417,160.1918465227818
2025-02-01,16,617,417,147.96163069544363
2025-02-01,17,964,417,231.17505995203834
2025-03-01,0,507,507,100.0
2025-03-01,1,960,507,189.3491124260355
2025-03-01,2,1002,507,197.63313609467457
2025-03-01,3,1005,507,198.2248520710059
2025-03-01,4,1013,507,199.8027613412229
2025-03-01,5,1010,507,199.2110453648915
2025-03-01,6,992,507,195.66074950690336
2025-03-01,7,985,507,194.2800788954635
2025-03-01,8,961,507,189.5463510848126
2025-03-01,9,936,507,184.6153846153846
2025-03-01,10,923,507,182.05128205128204
2025-03-01,11,856,507,168.83629191321498
2025-03-01,12,834,507,164.49704142011834
2025-03-01,13,798,507,157.39644970414201
2025-03-01,14,728,507,143.5897435897436
2025-03-01,15,664,507,130.96646942800788
2025-03-01,16,1014,507,200.0
2025-04-01,0,485,485,100.0
2025-04-01,1,914,485,188.45360824742266
2025-04-01,2,942,485,194.22680412371133
2025-04-01,3,944,485,194.63917525773195
2025-04-01,4,934,485,192.57731958762886
2025-04-01,5,941,485,194.02061855670104
2025-04-01,6,934,485,192.57731958762886
2025-04-01,7,912,485,188.04123711340205
2025-04-01,8,901,485,185.77319587628867
2025-04-01,9,880,485,181.44329896907217
2025-04-01,10,829,485,170.9278350515464
2025-04-01,11,817,485,168.4536082474227
2025-04-01,12,749,485,154.43298969072166
2025-04-01,13,729,485,150.30927835051546
2025-04-01,14,667,485,137.5257731958763
2025-04-01,15,949,485,195.6701030927835
2025-05-01,0,520,520,100.0
2025-05-01,1,972,520,186.92307692307693
2025-05-01,2,1005,520,193.26923076923077
2025-05-01,3,1009,520,194.03846153846155
2025-05-01,4,999,520,192.1153846153846
2025-05-01,5,999,520,192.1153846153846
2025-05-01,6,987,520,189.8076923076923
2025-05-01,7,978,520,188.07692307692307
2025-05-01,8,974,520,187.30769230769232
2025-05-01,9,917,520,176.34615384615384
2025-05-01,10,883,520,169.8076923076923
2025-05-01,11,847,520,162.8846153846154
2025-05-01,12,828,520,159.23076923076923
2025-05-01,13,734,520,141.15384615384616
2025-05-01,14,1006,520,193.46153846153845
2025-06-01,0,538,538,100.0
2025-06-01,1,936,538,173.97769516728624
2025-06-01,2,946,538,175.8364312267658
2025-06-01,3,944,538,175.4646840148699
2025-06-01,4,944,538,175.4646840148699
2025-06-01,5,943,538,175.2788104089219
2025-06-01,6,932,538,173.23420074349443
2025-06-01,7,914,538,169.88847583643124
2025-06-01,8,885,538,164.4981412639405
2025-06-01,9,866,538,160.96654275092936
2025-06-01,10,806,538,149.81412639405204
2025-06-01,11,794,538,147.5836431226766
2025-06-01,12,707,538,131.41263940520446
2025-06-01,13,945,538,175.65055762081784
2025-07-01,0,577,577,100.0
2025-07-01,1,988,577,171.2305025996534
2025-07-01,2,1000,577,173.3102253032929
2025-07-01,3,1003,577,173.83015597920277
2025-07-01,4,997,577,172.79029462738302
2025-07-01,5,985,577,170.71057192374352
2025-07-01,6,985,577,170.71057192374352
2025-07-01,7,948,577,164.29809358752166
2025-07-01,8,961,577,166.55112651646448
2025-07-01,9,915,577,158.578856152513
2025-07-01,10,840,577,145.580589254766
2025-07-01,11,804,577,139.3414211438475
2025-07-01,12,997,577,172.79029462738302
2025-08-01,0,654,654,100.0
2025-08-01,1,1042,654,159.32721712538228
2025-08-01,2,1046,654,159.9388379204893
2025-08-01,3,1042,654,159.32721712538228
2025-08-01,4,1047,654,160.09174311926606
2025-08-01,5,1041,654,159.1743119266055
2025-08-01,6,1026,654,156.88073394495413
2025-08-01,7,1005,654,153.6697247706422
2025-08-01,8,975,654,149.08256880733944
2025-08-01,9,943,654,144.18960244648318
2025-08-01,10,862,654,131.80428134556576
2025-08-01,11,1049,654,160.39755351681956
2025-09-01,0,642,642,100.0
2025-09-01,1,1013,642,157.78816199376945
2025-09-01,2,1011,642,157.47663551401868
2025-09-01,3,1011,642,157.47663551401868
2025-09-01,4,1010,642,157.3208722741433
2025-09-01,5,999,642,155.60747663551402
2025-09-01,6,998,642,155.45171339563865
2025-09-01,7,964,642,150.1557632398754
2025-09-01,8,935,642,145.6386292834891
2025-09-01,9,876,642,136.4485981308411
2025-09-01,10,1013,642,157.78816199376945
2025-10-01,0,736,736,100.0
2025-10-01,1,1079,736,146.60326086956522
2025-10-01,2,1080,736,146.73913043478262
2025-10-01,3,1081,736,146.875
2025-10-01,4,1075,736,146.05978260869566
2025-10-01,5,1066,736,144.83695652173913
2025-10-01,6,1048,736,142.3913043478261
2025-10-01,7,1034,736,140.48913043478262
2025-10-01,8,975,736,132.47282608695653
2025-10-01,9,1079,736,146.60326086956522
2025-11-01,0,663,663,100.0
2025-11-01,1,948,663,142.98642533936652
2025-11-01,2,949,663,143.13725490196077
2025-11-01,3,949,663,143.13725490196077
2025-11-01,4,942,663,142.0814479638009
2025-11-01,5,939,663,141.6289592760181
2025-11-01,6,924,663,139.36651583710406
2025-11-01,7,877,663,132.27752639517345
2025-11-01,8,947,663,142.83559577677224
2025-12-01,0,765,765,100.0
2025-12-01,1,1028,765,134.37908496732027
2025-12-01,2,1028,765,134.37908496732027
2025-12-01,3,1028,765,134.37908496732027
2025-12-01,4,1027,765,134.2483660130719
2025-12-01,5,1012,765,132.2875816993464
2025-12-01,6,978,765,127.84313725490195
2025-12-01,7,1026,765,134.1176470588235
2026-01-01,0,837,837,100.0
2026-01-01,1,1030,837,123.05854241338112
2026-01-01,2,1030,837,123.05854241338112
2026-01-01,3,1030,837,123.05854241338112
2026-01-01,4,1023,837,122.22222222222223
2026-01-01,5,1002,837,119.71326164874552
2026-01-01,6,1029,837,122.93906810035841
2026-02-01,0,745,745,100.0
2026-02-01,1,917,745,123.08724832214766
2026-02-01,2,917,745,123.08724832214766
2026-02-01,3,916,745,122.9530201342282
2026-02-01,4,911,745,122.28187919463087
2026-02-01,5,917,745,123.08724832214766
2026-03-01,0,877,877,100.0
2026-03-01,1,1006,877,114.70923603192702
2026-03-01,2,1006,877,114.70923603192702
2026-03-01,3,1006,877,114.70923603192702
2026-03-01,4,1005,877,114.59521094640822
2026-04-01,0,908,908,100.0
2026-04-01,1,1015,908,111.784140969163
2026-04-01,2,1015,908,111.784140969163
2026-04-01,3,1014,908,111.67400881057267
2026-05-01,0,953,953,100.0
2026-05-01,1,1001,953,105.0367261280168
2026-05-01,2,1001,953,105.0367261280168
2026-06-01,0,1013,1013,100.0
2026-06-01,1,1039,1013,102.56663376110562
