user_id,first_active_month,last_active_month,active_months,activity_span_days,retention_behavior
U000056,2025-05-01,2026-07-01,13,426,High Retention
U000057,2026-03-01,2026-07-01,5,122,Moderate Retention
U000058,2026-04-01,2026-07-01,4,91,Moderate Retention
U000059,2025-11-01,2026-07-01,9,242,High Retention
U000060,2025-01-01,2026-07-01,16,546,High Retention
U000061,2024-11-01,2026-07-01,16,607,High Retention
U000062,2025-12-01,2026-07-01,8,212,High Retention
U000063,2024-02-01,2026-07-01,20,881,High Retention
U000064,2025-01-01,2026-07-01,15,546,High Retention
U000065,2025-06-01,2026-07-01,13,395,High Retention
U000066,2024-05-01,2026-07-01,20,791,High Retention
U000067,2026-01-01,2026-07-01,7,181,High Retention
U000068,2024-12-01,2026-07-01,15,577,High Retention
U000069,2026-02-01,2026-07-01,6,150,High Retention
U000070,2024-05-01,2026-07-01,24,791,High Retention
U000071,2024-03-01,2026-07-01,21,852,High Retention
U000072,2025-02-01,2026-07-01,18,515,High Retention
U000073,2026-05-01,2026-07-01,3,61,Moderate Retention
U000074,2024-05-01,2026-07-01,20,791,High Retention
U000075,2024-05-01,2026-07-01,23,791,High Retention
U000076,2025-12-01,2026-07-01,8,212,High Retention
U000077,2024-04-01,2026-07-01,18,821,High Retention
U000078,2025-07-01,2026-07-01,13,365,High Retention
U000079,2024-04-01,2026-07-01,20,821,High Retention
U000080,2024-03-01,2026-07-01,25,852,High Retention
U000081,2025-01-01,2026-07-01,15,546,High Retention
U000082,2025-08-01,2026-07-01,11,334,High Retention
U000083,2025-07-01,2026-07-01,12,365,High Retention
U000084,2026-05-01,2026-07-01,3,61,Moderate Retention
U000085,2024-04-01,2026-07-01,20,821,High Retention
U000086,2024-03-01,2026-07-01,18,852,High Retention
U000087,2025-12-01,2026-07-01,8,212,High Retention
U000088,2024-12-01,2026-07-01,18,577,High Retention
U000089,2024-07-01,2026-07-01,20,730,High Retention
U000090,2026-04-01,2026-07-01,4,91,Moderate Retention
U000091,2024-11-01,2026-07-01,17,607,High Retention
U000092,2024-02-01,2026-07-01,22,881,High Retention
U000093,2024-02-01,2026-07-01,20,881,High Retention
U000094,2026-04-01,2026-07-01,4,91,Moderate Retention
U000095,2024-06-01,2026-07-01,20,760,High Retention
U000096,2026-06-01,2026-07-01,2,30,Low Retention
U000097,2024-07-01,2026-07-01,19,730,High Retention
U000098,2025-01-01,2026-07-01,18,546,High Retention
U000099,2024-05-01,2026-07-01,25,791,High Retention
U000100,2025-03-01,2026-07-01,15,487,High Retention
U000101,2026-05-01,2026-07-01,3,61,Moderate Retention
U000102,2026-06-01,2026-07-01,2,30,Low Retention
U000103,2024-12-01,2026-07-01,18,577,High Retention
U000104,2024-03-01,2026-07-01,23,852,High Retention
U000105,2025-10-01,2026-07-01,10,273,High Retention
U000106,2024-12-01,2026-07-01,18,577,High Retention
U000107,2026-03-01,2026-07-01,5,122,Moderate Retention
U000108,2024-03-01,2026-07-01,24,852,High Retention
U000109,2024-05-01,2026-07-01,14,791,High Retention
U000110,2025-11-01,2026-07-01,9,242,High Retention
U000111,2025-08-01,2026-07-01,12,334,High Retention
U000112,2025-08-01,2026-07-01,12,334,High Retention
U000113,2025-05-01,2026-07-01,15,426,High Retention
U000114,2026-03-01,2026-07-01,5,122,Moderate Retention
U000115,2025-09-01,2026-07-01,11,303,High Retention
U000116,2024-07-01,2026-07-01,17,730,High Retention
U000117,2026-01-01,2026-07-01,7,181,High Retention
U000118,2025-05-01,2026-07-01,12,426,High Retention
U000119,2024-07-01,2026-07-01,21,730,High Retention
U000120,2025-11-01,2026-07-01,9,242,High Retention
U000121,2025-09-01,2026-07-01,11,303,High Retention
U000122,2024-09-01,2026-07-01,21,668,High Retention
U000123,2024-06-01,2026-07-01,18,760,High Retention
U000124,2026-03-01,2026-07-01,5,122,Moderate Retention
U000125,2026-02-01,2026-07-01,6,150,High Retention
U000126,2024-08-01,2026-07-01,20,699,High Retention
U000127,2025-10-01,2026-07-01,9,273,High Retention
U000128,2024-04-01,2026-07-01,21,821,High Retention
U000129,2026-04-01,2026-07-01,4,91,Moderate Retention
U000130,2024-09-01,2026-07-01,20,668,High Retention
U000131,2024-06-01,2026-07-01,23,760,High Retention
U000132,2026-01-01,2026-07-01,7,181,High Retention
U000133,2026-05-01,2026-07-01,3,61,Moderate Retention
U000134,2025-10-01,2026-07-01,10,273,High Retention
U000135,2026-03-01,2026-07-01,5,122,Moderate Retention
U000136,2026-03-01,2026-07-01,5,122,Moderate Retention
U000137,2024-10-01,2026-07-01,16,638,High Retention
U000138,2025-07-01,2026-07-01,13,365,High Retention
U000139,2025-09-01,2026-07-01,10,303,High Retention
U000140,2026-04-01,2026-07-01,4,91,Moderate Retention
U000141,2025-06-01,2026-07-01,11,395,High Retention
U000142,2025-05-01,2026-07-01,15,426,High Retention
U000143,2026-01-01,2026-07-01,7,181,High Retention
U000144,2026-04-01,2026-07-01,4,91,Moderate Retention
U000145,2024-03-01,2026-07-01,22,852,High Retention
U000146,2026-03-01,2026-07-01,5,122,Moderate Retention
U000147,2025-01-01,2026-07-01,18,546,High Retention
U000148,2025-04-01,2026-07-01,15,456,High Retention
U000149,2025-03-01,2026-07-01,11,487,High Retention
U000150,2024-02-01,2026-07-01,23,881,High Retention
U000151,2025-06-01,2026-07-01,13,395,High Retention
U000152,2026-06-01,2026-07-01,2,30,Low Retention
U000153,2025-10-01,2026-07-01,10,273,High Retention
U000154,2025-04-01,2026-07-01,16,456,High Retention
U000155,2024-01-01,2026-07-01,23,912,High Retention
U000156,2025-11-01,2026-07-01,9,242,High Retention
U000157,2025-09-01,2026-07-01,11,303,High Retention
U000158,2025-03-01,2026-07-01,16,487,High Retention
U000159,2024-12-01,2026-07-01,17,577,High Retention
U000160,2024-12-01,2026-07-01,17,577,High Retention
U000161,2024-08-01,2026-07-01,19,699,High Retention
U000162,2025-01-01,2026-07-01,17,546,High Retention
U000163,2024-06-01,2026-07-01,17,760,High Retention
U000164,2024-12-01,2026-07-01,14,577,High Retention
U000165,2026-05-01,2026-07-01,3,61,Moderate Retention
U000166,2025-06-01,2026-07-01,12,395,High Retention
U000167,2025-06-01,2026-07-01,13,395,High Retention
U000168,2026-01-01,2026-07-01,7,181,High Retention
U000169,2026-03-01,2026-07-01,5,122,Moderate Retention
U000170,2025-06-01,2026-07-01,12,395,High Retention
U000171,2024-11-01,2026-07-01,17,607,High Retention
U000172,2025-05-01,2026-07-01,14,426,High Retention
U000173,2026-03-01,2026-07-01,5,122,Moderate Retention
U000174,2024-10-01,2026-07-01,17,638,High Retention
U000175,2026-06-01,2026-07-01,2,30,Low Retention
U000176,2025-03-01,2026-07-01,15,487,High Retention
U000177,2025-10-01,2026-07-01,10,273,High Retention
U000178,2024-07-01,2026-07-01,18,730,High Retention
U000179,2026-06-01,2026-07-01,2,30,Low Retention
U000180,2025-11-01,2026-07-01,9,242,High Retention
U000181,2026-04-01,2026-07-01,4,91,Moderate Retention
U000182,2025-12-01,2026-07-01,8,212,High Retention
U000183,2025-02-01,2026-07-01,15,515,High Retention
U000184,2024-08-01,2026-07-01,19,699,High Retention
U000185,2026-01-01,2026-07-01,7,181,High Retention
U000186,2025-07-01,2026-07-01,12,365,High Retention
U000187,2024-08-01,2026-07-01,19,699,High Retention
U000188,2024-10-01,2026-07-01,19,638,High Retention
U000189,2024-07-01,2026-07-01,19,730,High Retention
U000190,2026-06-01,2026-07-01,2,30,Low Retention
U000191,2025-10-01,2026-07-01,10,273,High Retention
U000192,2024-10-01,2026-07-01,16,638,High Retention
U000193,2024-08-01,2026-07-01,16,699,High Retention
U000194,2026-03-01,2026-07-01,5,122,Moderate Retention
U000195,2025-11-01,2026-07-01,9,242,High Retention
U000196,2025-10-01,2026-07-01,9,273,High Retention
U000197,2024-04-01,2026-07-01,21,821,High Retention
U000198,2026-05-01,2026-07-01,3,61,Moderate Retention
U000199,2025-03-01,2026-07-01,14,487,High Retention
U000200,2025-11-01,2026-07-01,9,242,High Retention
U000201,2024-07-01,2026-07-01,19,730,High Retention
U000202,2025-07-01,2026-07-01,12,365,High Retention
U000203,2024-05-01,2026-07-01,21,791,High Retention
U000204,2025-03-01,2026-07-01,17,487,High Retention
U000205,2024-08-01,2026-07-01,18,699,High Retention
U000206,2025-03-01,2026-07-01,16,487,High Retention
U000207,2026-03-01,2026-07-01,5,122,Moderate Retention
U000208,2024-02-01,2026-07-01,22,881,High Retention
U000209,2025-03-01,2026-07-01,14,487,High Retention
U000210,2026-06-01,2026-07-01,2,30,Low Retention
U000211,2026-06-01,2026-07-01,2,30,Low Retention
U000212,2025-06-01,2026-07-01,11,395,High Retention
U000213,2025-09-01,2026-07-01,11,303,High Retention
U000214,2025-06-01,2026-07-01,14,395,High Retention
U000215,2025-03-01,2026-07-01,16,487,High Retention
U000216,2024-07-01,2026-07-01,20,730,High Retention
U000217,2026-01-01,2026-07-01,7,181,High Retention
U000218,2025-02-01,2026-07-01,12,515,High Retention
U000219,2026-03-01,2026-07-01,5,122,Moderate Retention
U000220,2024-08-01,2026-07-01,19,699,High Retention
U000221,2024-08-01,2026-07-01,20,699,High Retention
U000222,2024-08-01,2026-07-01,19,699,High Retention
U000223,2025-08-01,2026-07-01,12,334,High Retention
U000224,2025-06-01,2026-07-01,12,395,High Retention
U000225,2025-09-01,2026-07-01,9,303,High Retention
U000226,2024-09-01,2026-07-01,20,668,High Retention
U000227,2025-01-01,2026-07-01,15,546,High Retention
U000228,2025-09-01,2026-07-01,11,303,High Retention
U000229,2025-04-01,2026-07-01,14,456,High Retention
U000230,2024-12-01,2026-07-01,16,577,High Retention
U000231,2024-11-01,2026-07-01,21,607,High Retention
U000232,2024-12-01,2026-07-01,19,577,High Retention
U000233,2024-09-01,2026-07-01,20,668,High Retention
U000234,2025-10-01,2026-07-01,10,273,High Retention
U000235,2024-06-01,2026-07-01,22,760,High Retention
U000236,2025-09-01,2026-07-01,11,303,High Retention
U000237,2024-03-01,2026-07-01,13,852,High Retention
U000238,2025-01-01,2026-07-01,14,546,High Retention
U000239,2025-04-01,2026-07-01,16,456,High Retention
U000240,2026-04-01,2026-07-01,4,91,Moderate Retention
U000241,2025-09-01,2026-07-01,11,303,High Retention
U000242,2024-11-01,2026-07-01,15,607,High Retention
U000243,2024-12-01,2026-07-01,17,577,High Retention
U000244,2025-10-01,2026-07-01,10,273,High Retention
U000245,2026-03-01,2026-07-01,5,122,Moderate Retention
U000246,2026-01-01,2026-07-01,7,181,High Retention
U000247,2026-04-01,2026-07-01,4,91,Moderate Retention
U000248,2024-10-01,2026-07-01,18,638,High Retention
U000249,2025-03-01,2026-07-01,17,487,High Retention
U000250,2025-04-01,2026-07-01,13,456,High Retention
U000251,2025-01-01,2026-07-01,18,546,High Retention
U000252,2024-02-01,2026-07-01,26,881,High Retention
U000253,2024-08-01,2026-07-01,19,699,High Retention
U000254,2024-10-01,2026-07-01,18,638,High Retention
U000255,2025-01-01,2026-07-01,18,546,High Retention
U000256,2024-09-01,2026-07-01,20,668,High Retention
U000257,2024-12-01,2026-07-01,18,577,High Retention
U000258,2025-12-01,2026-07-01,8,212,High Retention
U000259,2024-12-01,2026-07-01,18,577,High Retention
U000260,2024-08-01,2026-07-01,22,699,High Retention
U000261,2025-03-01,2026-07-01,15,487,High Retention
U000262,2024-02-01,2026-07-01,19,881,High Retention
U000263,2024-09-01,2026-07-01,21,668,High Retention
U000264,2024-02-01,2026-07-01,19,881,High Retention
U000265,2024-04-01,2026-07-01,15,821,High Retention
U000266,2025-12-01,2026-07-01,8,212,High Retention
U000267,2024-02-01,2026-07-01,23,881,High Retention
U000268,2024-06-01,2026-07-01,23,760,High Retention
U000269,2024-07-01,2026-07-01,22,730,High Retention
U000270,2025-08-01,2026-07-01,11,334,High Retention
U000271,2024-11-01,2026-07-01,16,607,High Retention
U000272,2024-08-01,2026-07-01,20,699,High Retention
U000273,2025-11-01,2026-07-01,9,242,High Retention
U000274,2024-08-01,2026-07-01,14,699,High Retention
U000275,2026-05-01,2026-07-01,3,61,Moderate Retention
U000276,2026-01-01,2026-07-01,7,181,High Retention
U000277,2026-03-01,2026-07-01,5,122,Moderate Retention
U000278,2025-09-01,2026-07-01,11,303,High Retention
U000279,2024-09-01,2026-07-01,22,668,High Retention
U000280,2025-08-01,2026-07-01,12,334,High Retention
U000281,2025-11-01,2026-07-01,9,242,High Retention
U000282,2026-04-01,2026-07-01,4,91,Moderate Retention
U000283,2024-02-01,2026-07-01,26,881,High Retention
U000284,2026-03-01,2026-07-01,5,122,Moderate Retention
U000285,2026-01-01,2026-07-01,7,181,High Retention
U000286,2026-02-01,2026-07-01,6,150,High Retention
U000287,2024-07-01,2026-07-01,22,730,High Retention
U000288,2024-06-01,2026-07-01,22,760,High Retention
U000289,2025-09-01,2026-07-01,11,303,High Retention
U000290,2024-06-01,2026-07-01,22,760,High Retention
U000291,2024-08-01,2026-07-01,22,699,High Retention
U000292,2026-06-01,2026-07-01,2,30,Low Retention
U000293,2026-04-01,2026-07-01,4,91,Moderate Retention
U000294,2025-06-01,2026-07-01,12,395,High Retention
U000295,2025-08-01,2026-07-01,12,334,High Retention
U000296,2025-05-01,2026-07-01,15,426,High Retention
U000297,2025-11-01,2026-07-01,9,242,High Retention
U000298,2025-05-01,2026-07-01,14,426,High Retention
U000299,2025-07-01,2026-07-01,13,365,High Retention
U000300,2025-11-01,2026-07-01,9,242,High Retention
U000301,2025-12-01,2026-07-01,8,212,High Retention
U000302,2025-07-01,2026-07-01,13,365,High Retention
U000303,2025-11-01,2026-07-01,8,242,High Retention
U000304,2024-05-01,2026-01-01,16,610,High Retention
U000305,2024-03-01,2026-07-01,21,852,High Retention
U000306,2024-05-01,2026-07-01,19,791,High Retention
U000307,2025-11-01,2026-07-01,9,242,High Retention
U000308,2024-10-01,2026-07-01,15,638,High Retention
U000309,2025-12-01,2026-07-01,8,212,High Retention
U000310,2026-03-01,2026-07-01,5,122,Moderate Retention
U000311,2025-10-01,2026-07-01,10,273,High Retention
U000312,2025-02-01,2026-07-01,17,515,High Retention
U000313,2024-05-01,2026-07-01,20,791,High Retention
U000314,2026-03-01,2026-07-01,5,122,Moderate Retention
U000315,2024-11-01,2026-07-01,17,607,High Retention
U000316,2025-07-01,2026-07-01,11,365,High Retention
U000317,2025-11-01,2026-07-01,9,242,High Retention
U000318,2026-05-01,2026-07-01,3,61,Moderate Retention
U000319,2025-05-01,2026-07-01,13,426,High Retention
U000320,2026-03-01,2026-07-01,5,122,Moderate Retention
U000321,2025-10-01,2026-07-01,10,273,High Retention
U000322,2025-01-01,2026-07-01,19,546,High Retention
U000323,2024-12-01,2026-07-01,16,577,High Retention
U000324,2025-06-01,2026-07-01,13,395,High Retention
U000325,2025-10-01,2026-07-01,9,273,High Retention
U000326,2025-10-01,2026-07-01,10,273,High Retention
U000327,2025-11-01,2026-07-01,9,242,High Retention
U000328,2024-03-01,2026-07-01,18,852,High Retention
U000329,2025-03-01,2026-07-01,15,487,High Retention
U000330,2024-05-01,2026-07-01,22,791,High Retention
U000331,2024-05-01,2026-07-01,14,791,High Retention
U000332,2025-11-01,2026-07-01,9,242,High Retention
U000333,2026-06-01,2026-07-01,2,30,Low Retention
U000334,2026-04-01,2026-07-01,4,91,Moderate Retention
U000335,2026-03-01,2026-07-01,5,122,Moderate Retention
U000336,2024-10-01,2026-07-01,18,638,High Retention
U000337,2024-06-01,2026-07-01,17,760,High Retention
U000338,2025-01-01,2026-07-01,15,546,High Retention
U000339,2025-02-01,2026-07-01,18,515,High Retention
U000340,2026-03-01,2026-07-01,5,122,Moderate Retention
U000341,2024-10-01,2026-07-01,18,638,High Retention
U000342,2024-09-01,2026-07-01,22,668,High Retention
U000343,2026-06-01,2026-07-01,2,30,Low Retention
U000344,2026-04-01,2026-07-01,4,91,Moderate Retention
U000345,2025-10-01,2026-07-01,10,273,High Retention
U000346,2024-05-01,2026-07-01,22,791,High Retention
U000347,2025-06-01,2026-07-01,13,395,High Retention
U000348,2024-10-01,2026-07-01,15,638,High Retention
U000349,2024-06-01,2026-07-01,24,760,High Retention
U000350,2024-02-01,2026-07-01,24,881,High Retention
U000351,2024-12-01,2026-07-01,16,577,High Retention
U000352,2024-04-01,2026-07-01,22,821,High Retention
U000353,2024-04-01,2026-07-01,23,821,High Retention
U000354,2024-09-01,2026-07-01,20,668,High Retention
U000355,2025-03-01,2026-07-01,14,487,High Retention
U000356,2025-09-01,2026-07-01,11,303,High Retention
U000357,2026-03-01,2026-07-01,5,122,Moderate Retention
U000358,2024-07-01,2026-07-01,17,730,High Retention
U000359,2025-12-01,2026-07-01,8,212,High Retention
U000360,2026-05-01,2026-07-01,3,61,Moderate Retention
U000361,2025-12-01,2026-07-01,8,212,High Retention
U000362,2024-11-01,2026-07-01,18,607,High Retention
U000363,2024-10-01,2026-07-01,17,638,High Retention
U000364,2025-05-01,2026-07-01,15,426,High Retention
U000365,2026-01-01,2026-07-01,7,181,High Retention
U000366,2025-09-01,2026-07-01,10,303,High Retention
U000367,2025-03-01,2026-07-01,14,487,High Retention
U000368,2024-05-01,2026-07-01,21,791,High Retention
U000369,2025-09-01,2026-07-01,11,303,High Retention
U000370,2025-09-01,2026-07-01,11,303,High Retention
U000371,2025-04-01,2026-07-01,14,456,High Retention
U000372,2024-04-01,2026-07-01,22,821,High Retention
U000373,2025-02-01,2026-07-01,17,515,High Retention
U000374,2026-01-01,2026-07-01,7,181,High Retention
U000375,2026-05-01,2026-07-01,3,61,Moderate Retention
U000376,2025-04-01,2026-07-01,13,456,High Retention
U000377,2026-02-01,2026-07-01,6,150,High Retention
U000378,2024-04-01,2026-07-01,22,821,High Retention
U000379,2024-03-01,2026-07-01,26,852,High Retention
U000380,2025-10-01,2026-07-01,9,273,High Retention
U000381,2026-06-01,2026-07-01,2,30,Low Retention
U000382,2024-03-01,2026-07-01,23,852,High Retention
U000383,2024-09-01,2026-07-01,17,668,High Retention
U000384,2026-06-01,2026-07-01,2,30,Low Retention
U000385,2026-05-01,2026-07-01,3,61,Moderate Retention
U000386,2025-03-01,2026-07-01,17,487,High Retention
U000387,2024-02-01,2026-07-01,20,881,High Retention
U000388,2025-01-01,2026-07-01,18,546,High Retention
U000389,2025-09-01,2026-07-01,11,303,High Retention
U000390,2024-10-01,2026-07-01,16,638,High Retention
U000391,2024-11-01,2026-07-01,21,607,High Retention
U000392,2025-03-01,2026-07-01,17,487,High Retention
U000393,2025-02-01,2026-07-01,17,515,High Retention
U000394,2025-12-01,2026-07-01,8,212,High Retention
U000395,2025-04-01,2026-07-01,15,456,High Retention
U000396,2025-05-01,2026-07-01,9,426,High Retention
U000397,2025-01-01,2026-07-01,17,546,High Retention
U000398,2025-08-01,2026-07-01,11,334,High Retention
U000399,2025-10-01,2026-07-01,9,273,High Retention
U000400,2024-03-01,2026-07-01,23,852,High Retention
U000401,2024-02-01,2026-07-01,27,881,High Retention
U000402,2026-02-01,2026-07-01,6,150,High Retention
U000403,2024-04-01,2026-07-01,23,821,High Retention
U000404,2025-05-01,2026-07-01,14,426,High Retention
U000405,2026-02-01,2026-07-01,6,150,High Retention
U000406,2025-04-01,2026-07-01,13,456,High Retention
U000407,2024-04-01,2026-07-01,18,821,High Retention
U000408,2024-09-01,2026-07-01,23,668,High Retention
U000409,2024-07-01,2026-07-01,23,730,High Retention
U000410,2024-04-01,2026-07-01,27,821,High Retention
U000411,2024-12-01,2026-07-01,19,577,High Retention
U000412,2024-11-01,2026-07-01,16,607,High Retention
U000413,2025-08-01,2026-07-01,12,334,High Retention
U000414,2026-01-01,2026-07-01,7,181,High Retention
U000415,2025-07-01,2026-07-01,12,365,High Retention
U000416,2025-05-01,2026-07-01,14,426,High Retention
U000417,2026-01-01,2026-07-01,7,181,High Retention
U000418,2024-09-01,2026-07-01,20,668,High Retention
U000419,2025-03-01,2026-07-01,15,487,High Retention
U000420,2025-07-01,2026-07-01,11,365,High Retention
U000421,2026-01-01,2026-07-01,7,181,High Retention
U000422,2024-12-01,2026-07-01,16,577,High Retention
U000423,2025-04-01,2026-07-01,13,456,High Retention
U000424,2024-08-01,2026-07-01,21,699,High Retention
U000425,2024-10-01,2026-07-01,17,638,High Retention
U000426,2025-11-01,2026-07-01,9,242,High Retention
U000427,2026-02-01,2026-07-01,6,150,High Retention
U000428,2024-07-01,2026-07-01,18,730,High Retention
U000429,2026-06-01,2026-07-01,2,30,Low Retention
U000430,2025-07-01,2026-07-01,12,365,High Retention
U000431,2026-06-01,2026-07-01,2,30,Low Retention
U000432,2025-11-01,2026-07-01,9,242,High Retention
U000433,2024-05-01,2026-07-01,26,791,High Retention
U000434,2024-04-01,2026-07-01,24,821,High Retention
U000435,2026-04-01,2026-07-01,4,91,Moderate Retention
U000436,2025-10-01,2026-07-01,10,273,High Retention
U000437,2026-03-01,2026-07-01,5,122,Moderate Retention
U000438,2024-02-01,2026-07-01,25,881,High Retention
U000439,2024-06-01,2026-07-01,18,760,High Retention
U000440,2026-01-01,2026-07-01,7,181,High Retention
U000441,2026-02-01,2026-07-01,6,150,High Retention
U000442,2024-10-01,2026-07-01,20,638,High Retention
U000443,2026-06-01,2026-07-01,2,30,Low Retention
U000444,2024-05-01,2026-07-01,25,791,High Retention
U000445,2024-11-01,2026-07-01,16,607,High Retention
U000446,2024-06-01,2026-07-01,24,760,High Retention
U000447,2025-06-01,2026-07-01,13,395,High Retention
U000448,2025-02-01,2026-07-01,15,515,High Retention
U000449,2025-07-01,2026-07-01,13,365,High Retention
U000450,2024-10-01,2026-07-01,18,638,High Retention
U000451,2025-05-01,2026-07-01,15,426,High Retention
U000452,2025-04-01,2026-07-01,15,456,High Retention
U000453,2024-10-01,2026-07-01,21,638,High Retention
U000454,2026-02-01,2026-07-01,6,150,High Retention
U000455,2026-02-01,2026-07-01,6,150,High Retention
U000456,2024-04-01,2026-07-01,21,821,High Retention
U000457,2024-10-01,2026-07-01,16,638,High Retention
U000458,2024-09-01,2026-07-01,20,668,High Retention
U000459,2024-10-01,2026-07-01,20,638,High Retention
U000460,2024-05-01,2026-07-01,20,791,High Retention
U000461,2025-01-01,2026-07-01,17,546,High Retention
U000462,2025-08-01,2026-07-01,11,334,High Retention
U000463,2025-01-01,2026-07-01,16,546,High Retention
U000464,2025-08-01,2026-07-01,12,334,High Retention
U000465,2024-03-01,2026-07-01,23,852,High Retention
U000466,2026-02-01,2026-07-01,6,150,High Retention
U000467,2025-05-01,2026-07-01,15,426,High Retention
U000468,2025-11-01,2026-07-01,7,242,High Retention
U000469,2025-04-01,2026-07-01,16,456,High Retention
U000470,2025-10-01,2026-07-01,10,273,High Retention
U000471,2025-06-01,2026-07-01,14,395,High Retention
U000472,2024-06-01,2026-07-01,22,760,High Retention
U000473,2024-08-01,2026-07-01,22,699,High Retention
U000474,2026-01-01,2026-07-01,7,181,High Retention
U000475,2024-11-01,2026-07-01,15,607,High Retention
U000476,2024-03-01,2026-07-01,16,852,High Retention
U000477,2025-05-01,2026-07-01,14,426,High Retention
U000478,2025-10-01,2026-07-01,10,273,High Retention
U000479,2026-02-01,2026-07-01,6,150,High Retention
U000480,2026-01-01,2026-07-01,7,181,High Retention
U000481,2026-05-01,2026-07-01,3,61,Moderate Retention
U000482,2024-07-01,2026-07-01,17,730,High Retention
U000483,2025-10-01,2026-07-01,10,273,High Retention
U000484,2024-10-01,2026-07-01,18,638,High Retention
U000485,2026-03-01,2026-07-01,5,122,Moderate Retention
U000486,2024-09-01,2026-07-01,20,668,High Retention
U000487,2025-10-01,2026-07-01,10,273,High Retention
U000488,2026-01-01,2026-07-01,7,181,High Retention
U000489,2025-07-01,2026-07-01,12,365,High Retention
U000490,2025-01-01,2026-07-01,16,546,High Retention
U000491,2025-03-01,2026-07-01,12,487,High Retention
U000492,2024-12-01,2026-07-01,17,577,High Retention
U000493,2024-04-01,2026-07-01,22,821,High Retention
U000494,2025-05-01,2026-07-01,13,426,High Retention
U000495,2025-07-01,2026-07-01,12,365,High Retention
U000496,2025-10-01,2026-07-01,10,273,High Retention
U000497,2024-03-01,2026-07-01,24,852,High Retention
U000498,2025-09-01,2026-07-01,11,303,High Retention
U000499,2024-10-01,2026-07-01,17,638,High Retention
U000500,2025-10-01,2026-07-01,10,273,High Retention
U000501,2025-04-01,2026-07-01,15,456,High Retention
U000502,2026-05-01,2026-07-01,3,61,Moderate Retention
U000503,2024-05-01,2026-07-01,21,791,High Retention
U000504,2024-09-01,2026-07-01,19,668,High Retention
U000505,2025-10-01,2026-07-01,10,273,High Retention
U000506,2024-08-01,2026-07-01,21,699,High Retention
U000507,2024-09-01,2026-07-01,17,668,High Retention
U000508,2025-08-01,2026-07-01,11,334,High Retention
U000509,2025-05-01,2026-07-01,12,426,High Retention
